Fighter,Elo Rating,Peak Elo,Record,Unbeaten Streak,Strength of Schedule
Carlos Huachin,1171.468468351071,1200.0,0-2-0,0,1230.5264674913897
Nick Klein,1171.4591112867324,1200.0,0-2-0,0,1230.21359058881
Alberto Crane,1171.439225163431,1200.0,0-2-0,0,1230.9988062035418
Mehdi Baghdad,1171.431763082578,1200.0,0-2-0,0,1230.5142633479063
Wagner Prado,1171.4277579070335,1200.0,0-2-0,0,1241.2714864068307
Amar Suloev,1171.4152147834072,1200.0,0-2-0,0,1230.7808812599908
Efrain Escudero,1171.4120485247934,1233.3468308025472,5-7-0,0,1209.1011001079512
Terry Martin,1171.3963271438965,1203.7326955676488,2-4-0,0,1200.8256527131218
Louis Gaudinot,1171.3433376281969,1200.736306793522,1-3-0,0,1205.7195006414674
Jon Delos Reyes,1171.3420210803683,1200.0,1-3-0,0,1203.3804707231025
Luigi Vendramini,1171.3419007830817,1202.8290803952514,1-3-0,0,1212.437304027375
Kevin Aguilar,1171.3274891043586,1234.9286682763423,2-4-0,0,1222.1977894327536
Bobby Moffett,1171.3093969993874,1200.0,0-2-0,0,1234.1155344851784
Clay Collard,1171.2570760103667,1202.0685448449346,1-3-0,0,1211.2673289306508
Akbarh Arreola,1171.2434404091453,1200.601216757366,1-3-0,0,1210.264592634928
Renee Forte,1171.238572419397,1201.3004457857533,1-3-0,0,1210.453471244699
TJ O'Brien,1171.237648247412,1200.0,0-2-0,0,1227.7283694012117
Brad Scott,1171.187998225497,1201.8941274858669,3-5-0,0,1201.53504364625
Jesse Butler,1171.1556301755866,1200.0,0-2-0,0,1227.9797504280355
Bart Palaszewski,1171.125121671622,1217.6609251486802,1-3-0,0,1218.2361015493589
Jason Witt,1171.1232450157308,1202.6193535549558,2-4-0,0,1204.3938083053536
Tofiq Musayev,1171.1064582530273,1200.0,0-2-0,0,1226.3301386845715
Billy Elekana,1171.0925891477373,1200.0,0-2-0,0,1226.1742430873503
Danny Martinez,1171.0629776822564,1200.0,1-3-0,1,1193.4006819497315
Chelsea Chandler,1171.0568165119746,1217.9336566317913,2-4-0,0,1214.0902436327367
Alvin Hines,1171.05034145198,1200.0,0-2-0,0,1225.6994344920386
Jon Olav Einemo,1171.000443733807,1200.0,0-2-0,0,1224.967043081295
Josh Fremd,1170.9812425986715,1200.0,2-4-0,0,1197.6369147336127
Melissa Mullins,1170.9530583946375,1201.496904057899,1-3-0,0,1209.005482626177
Marcus Aurelio,1170.906022429827,1215.2993149650388,2-4-0,0,1207.9028207517874
Anderson Dos Santos,1170.892131952651,1200.0,1-3-0,0,1200.6626951248948
Chris Fishgold,1170.8889389209241,1200.1282575984437,1-3-0,0,1208.5241498813698
Vagner Rocha,1170.8815364158454,1201.5510535919625,1-3-0,0,1208.6263424903202
Antonio Mendes,1170.8813258496896,1200.0,0-2-0,0,1224.5197140066452
Reese Andy,1170.8805044752178,1200.0,0-2-0,0,1224.0185437102855
Sean Salmon,1170.8442241027503,1200.0,0-2-0,0,1224.6910105320198
Kazula Vargas,1170.8404915381507,1200.0,1-3-0,0,1199.6326431473567
Josh Copeland,1170.8331159016705,1200.0,0-2-0,0,1223.265657320376
Jason Novelli,1170.8316295194063,1200.0,0-2-0,0,1223.24923732878
Johnny Eduardo,1170.8308466712633,1216.4672000846572,3-5-0,0,1207.5372144375067
Nohelin Hernandez,1170.8247898481022,1200.0,0-2-0,0,1223.9179525094523
Quinn Mulhern,1170.8002684392338,1200.0,0-2-0,0,1223.6336231432983
Cole Williams,1170.7999641052033,1200.0,0-2-0,0,1224.2286133292555
AJ Dobson,1170.7935351485708,1200.0,1-3-0,0,1199.7812457560449
Kleydson Rodrigues,1170.7864178124664,1200.0,1-3-0,0,1207.18041693653
Shayna Baszler,1170.7769693158002,1200.0,0-2-0,0,1222.945588495159
Fernando Bruno,1170.7613873537184,1200.0,0-2-0,0,1222.2844949936439
Andrey Pulyaev,1170.7525376361898,1200.0,0-2-0,0,1222.3556396181789
Rostem Akman,1170.7478230230954,1200.0,0-2-0,0,1222.1327236258148
Oliver Enkamp,1170.7178189452973,1200.0,0-2-0,0,1222.281624607589
Yaotzin Meza,1170.6989703152574,1201.2502098601153,2-4-0,0,1204.3587081759372
Sarah Frota,1170.6476198558462,1200.0,0-2-0,0,1221.1969228977969
Francis Marshall,1170.6234204180143,1214.6034024595044,2-4-0,0,1206.0399021135315
Jamey Simmons,1170.6198081684913,1200.0,0-2-0,0,1222.1154194319638
Alex White,1170.5793290654292,1214.5723737784967,4-6-0,0,1196.9201336093076
Vaughan Lee,1170.5747733900598,1200.0,3-5-0,0,1199.0186236288553
Dennis Buzukja,1170.573660380427,1200.0,1-3-0,0,1199.3472065029084
Bobby Hoffman,1170.557105904055,1200.0,0-2-0,0,1213.5545223905012
Jeremy Kimball,1170.5190680112923,1201.2189161310955,1-3-0,0,1206.5987776381953
Stefan Sekulic,1170.4966097416252,1200.0,0-2-0,0,1220.0142631128354
Sean Spencer,1170.4721274884998,1215.9603207067005,3-5-0,0,1206.7994892706965
Gaetano Pirrello,1170.4396026044988,1200.0,0-2-0,0,1219.3981914288956
Mike Grundy,1170.3879500051569,1217.4358728782763,1-3-0,0,1214.2412437576468
Andre Winner,1170.3362612084718,1216.7407022693953,2-4-0,0,1206.684327511911
Dokonjonosuke Mishima,1170.2940038768581,1200.0,0-2-0,0,1217.3611378304922
Austin Arnett,1170.291390158241,1200.0,1-3-0,0,1196.866524732955
Brandon Wolff,1170.2749251323028,1200.0,0-2-0,0,1217.4680417866389
Tim Williams,1170.2583565764726,1200.0,0-2-0,0,1216.928306638486
John Allan,1170.2512345499715,1200.0,0-2-0,0,1211.4534438409926
Chris Tuchscherer,1170.2480653634577,1202.4702667318234,1-3-0,0,1205.910798979729
Dan Argueta,1170.246011352988,1201.6588303605174,1-3-0,0,1210.645107501646
Joey Gambino,1170.2456207329592,1200.0,0-2-0,0,1217.214767534917
TJ Laramie,1170.2441485260467,1200.0,0-2-0,0,1216.383453194857
